Year,Races,Winning Driver,Driver Points,WinningTeam,Team Points,Engine
2025,24,Lando Norris,423,McLaren,833,Mercedes
2024,24,Max Verstappen,437,McLaren,666,Mercedes
2023,22,Max Verstappen,575,Red Bull Racing,860,Red Bull Racing RBPT
2022,23,Max Verstappen,454,Red Bull Racing,759,Red Bull Racing RBPT
2021,22,Max Verstappen,395.5,Mercedes,613.5,Mercedes
2020,17,Lewis Hamilton,347,Mercedes,573,Mercedes
2019,21,Lewis Hamilton,413,Mercedes,739,Mercedes
2018,21,Lewis Hamilton,408,Mercedes,655,Mercedes
2017,20,Lewis Hamilton,363,Mercedes,668,Mercedes
2016,21,Nico Rosberg,385,Mercedes,765,Mercedes
2015,19,Lewis Hamilton,381,Mercedes,703,Mercedes
2014,19,Lewis Hamilton,384,Mercedes,701,Mercedes
2013,19,Sebastian Vettel,397,Red Bull,596,Renault
2012,20,Sebastian Vettel,281,Red Bull,460,Renault
2011,19,Sebastian Vettel,392,Red Bull,650,Renault
2010,19,Sebastian Vettel,256,Red Bull,488,Renault
2009,17,Jenson Button,95,Brawn,172,Mercedes
2008,18,Lewis Hamilton,98,Ferrari,172,Ferrari
2007,17,Kimi Raikkonen,110,Ferrari,204,Ferrari
2006,18,Fernando Alonso,134,Renault,206,Renault
2005,19,Fernando Alonso,133,Renault,191,Renault
2004,18,Michael Schumacher,148,Ferrari,262,Ferrari
2003,16,Michael Schumacher,93,Ferrari,158,Ferrari
2002,17,Michael Schumacher,144,Ferrari,221,Ferrari
2001,17,Michael Schumacher,123,Ferrari,179,Ferrari
2000,17,Michael Schumacher,108,Ferrari,170,Ferrari
1999,16,Mika Hakkinen,76,Ferrari,128,Ferrari
1998,16,Mika Hakkinen,100,McLaren,156,Mercedes
1997,17,Jacques Villeneuve,81,Williams,123,Renault
1996,16,Damon Hill,97,Williams,175,Renault
1995,17,Michael Schumacher,102,Benetton,137,Renault
1994,16,Michael Schumacher,92,Williams,118,Renault
1993,16,Alain Prost,99,Williams,168,Renault
1992,16,Nigel Mansell,108,Williams,164,Renault
1991,16,Ayrton Senna,96,McLaren,139,Honda
1990,16,Ayrton Senna,78,McLaren,121,Honda
1989,16,Alain Prost,76,McLaren,141,Honda
1988,16,Ayrton Senna,90,McLaren,199,Honda
1987,16,Nelson Piquet,73,Williams,137,Honda
1986,16,Alain Prost,72,Williams,141,Honda
1985,16,Alain Prost,73,McLaren,90,TAG
1984,16,Niki Lauda,72,McLaren,143.5,TAG
1983,15,Nelson Piquet,59,Ferrari,89,Ferrari
1982,16,Keke Rosberg,44,Ferrari,74,Ferrari
1981,15,Nelson Piquet,50,Williams,95,Ford
1980,14,Alan Jones,67,Williams,120,Ford
1979,15,Jody Scheckter,51,Ferrari,113,Ferrari
1978,16,Mario Andretti,64,Lotus,86,Ford
1977,17,Niki Lauda,72,Ferrari,95,Ferrari
1976,16,James Hunt,69,Ferrari,83,Ferrari
1975,14,Niki Lauda,64.5,Ferrari,72.5,Ferrari
1974,15,Emerson Fittipaldi,55,McLaren,73,Ford
1973,15,Jackie Stewart,71,Lotus,92,Ford
1972,12,Emerson Fittipaldi,61,Lotus,61,Ford
1971,11,Jackie Stewart,62,Tyrrell,73,Ford
1970,13,Jochen Rindt,45,Lotus,59,Ford
1969,11,Jackie Stewart,63,Matra,66,Ford
1968,12,Graham Hill,48,Lotus,62,Ford
1967,11,Denny Hulme,51,Brabham,63,Repco
1966,9,Jack Brabham,42,Brabham,42,Repco
1965,10,Jimmy Clark,54,Lotus,54,Climax
1964,10,John Surtees,40,Ferrari,45,Ferrari
1963,10,Jimmy Clark,54,Lotus,54,Climax
1962,9,Graham Hill,42,BRM,42,BRM
1961,8,Phil Hill,34,Ferrari,45,Ferrari
1960,10,Jack Brabham,43,Cooper,48,Climax
1959,9,Jack Brabham,31,Cooper,40,Climax
1958,11,Mike Hawthorn,42,Vanwall,48,Vanwall
1957,8,Juan Manuel Fangio,40,,,
1956,8,Juan Manuel Fangio,30,,,
1955,7,Juan Manuel Fangio,40,,,
1954,9,Juan Manuel Fangio,42,,,
1953,9,Alberto Ascari,34.5,,,
1952,8,Alberto Ascari,36,,,
1951,8,Juan Manuel Fangio,31,,,
1950,7,Nino Farina,30,,,
